title_original,ingredients_final,category,title_cleaned,steps_cleaned
Ayam goreng tulang lunak,"ayam, serai, daun jeruk, bawang putih, ketumbar, lengkuas, kunyit, kemiri, garam, air, minyak goreng",ayam,Ayam Goreng Tulang Lunak,"Haluskan bawang putih, ketumbar, kemiri, kunyit, lengkuas, dan garam. Kemudian campurkan bumbu halus tersebut dengan ayam yang sudah dicuci bersih dan dipotong di dalam panci presto, lalu uleni hingga tercampur rata. Tambahkan air hingga ayam tenggelam, lalu masukkan serai dan daun jeruk. Tutup panci presto dan ungkep selama kurang lebih 45 menit dengan api sedang. Setelah proses ungkep selesai, tunggu hingga suhu dingin ruang. Selanjutnya, goreng ayam dengan minyak goreng api sedang sampai berwarna kecoklatan."
Ayam cabai kawin,"ayam, cabai hijau, cabai merah, bawang putih, bawang merah, gula, garam, tomat, air, minyak goreng",ayam,Ayam Cabai Kawin,"Panaskan minyak goreng di dalam wajan, setelah minyak goreng panas masukkan ayam yang sudah dipotong dadu, lalu goreng hingga matang, kemudian tiriskan. Haluskan bawang putih, bawang merah, cabai hijau, cabai merah, dan tomat. Setelah itu, panaskan kembali minyak goreng di dalam wajan, lalu masukkan bumbu yang sudah dihaluskan dan tumis hingga harum. Masukkan ayam yang sudah digoreng, tambahkan air, gula, dan garam, kemudian masak hingga bumbu meresap ke dalam ayam."
Ayam Geprek,"ayam, gula, tepung, minyak goreng, sambal, cabai rawit",ayam,Ayam Geprek,"Balurkan ayam dengan tepung, kemudian goreng ayam hingga matang seperti ayam krispi. Haluskan cabai rawit dan bahan sambal lainnya, termasuk gula. Setelah itu, campurkan sambal yang sudah dihaluskan dengan minyak goreng panas bekas menggoreng ayam. Geprek ayam yang sudah digoreng, lalu campurkan dengan sambal."
Minyak Ayam,"kulit ayam, bawang putih, jahe, minyak goreng, ketumbar",ayam,Minyak Ayam,"Cuci bersih kulit ayam. Panaskan sebagian minyak goreng, lalu tumis jahe hingga harum. Masukkan kulit ayam, ketumbar, dan bawang putih, kemudian biarkan hingga keluar minyak alaminya sambil diaduk. Tambahkan sisa minyak goreng, lalu masak hingga kulit ayam mengering. Angkat dan saring."
Nasi Bakar Ayam,"nasi, daun pisang, daun salam, serai, daun kemangi, cabai merah, kecap manis, minyak goreng, air, cabai, bawang merah, bawang putih, kemiri, kunyit, gula, kaldu, lada",ayam,Nasi Bakar Ayam,"Haluskan cabai, bawang merah, bawang putih, kemiri, kunyit, gula, kaldu, dan lada. Panaskan minyak goreng, kemudian tumis bumbu halus hingga harum. Masukkan daun salam dan serai, lalu masukkan potongan ayam, kecap manis, dan air, kemudian masak hingga air menyusut. Setelah itu, masukkan irisan cabai merah dan daun kemangi, aduk sebentar, lalu matikan api. Susun daun pisang, letakkan nasi di atasnya, beri isian ayam. Bungkus nasi dengan daun pisang, kemudian bakar hingga matang."
Ayam saos teriyaki Lada Hitam,"tulang ayam, bawang bombay, daun bawang, bawang putih, cabai merah, cabai hijau, air, mentega, saus teriyaki, gula, kaldu bubuk, maizena",ayam,Ayam Saus Teriyaki Lada Hitam,"Panaskan mentega, kemudian masukkan irisan bawang putih dan irisan bawang bombay, lalu tumis hingga harum. Masukkan tulang ayam, tumis hingga agak matang, lalu masukkan cabai hijau dan cabai merah. Beri sedikit air, masukkan saus teriyaki, gula, dan kaldu bubuk. Setelah mulai matang, masukkan daun bawang. Jika ingin kental, masukkan larutan maizena."
Ayam Bakar Pedas Manis Resep :Nila Sari,"ayam, bawang merah, cabai, jahe, kunyit, lada, ketumbar, daun jeruk, daun salam, serai, bawang putih, kecap manis, gula merah, minyak goreng, kaldu bubuk, garam, santan",ayam,Ayam Bakar Pedas Manis,"Iris bawang merah dan daun jeruk. Haluskan cabai, bawang putih, lada, ketumbar, jahe, dan kunyit. Panaskan minyak goreng, lalu tumis irisan bawang merah hingga harum. Masukkan bumbu yang telah dihaluskan, tumis semua hingga harum. Kemudian masukkan serai, daun jeruk, dan daun salam. Tuang santan dan tambahkan air, lalu masukkan ayam. Taburkan kaldu bubuk, lada, garam, kecap manis, dan gula merah. Aduk, tutup, dan masak hingga ayam empuk serta air menyusut. Bakar ayam hingga matang."
Semur Ayam Kentang Ala Mama Kirana,"ayam, kentang, bawang putih, bawang merah, lada, kemiri, pala, cabai merah, jahe, daun salam, lengkuas, serai, kapulaga, bawang bombay, tomat, garam, kecap manis, penyedap rasa, jeruk nipis",ayam,Semur Ayam Kentang,"Cuci bersih ayam, lalu baluri dengan perasan jeruk nipis. Cuci kembali ayam dan baluri dengan garam, lalu rebus sebentar, kemudian goreng. Goreng kentang hingga matang. Haluskan bawang putih, bawang merah, lada, kemiri, pala, cabai merah, dan jahe. Tumis bumbu halus, kemudian masukkan daun salam, lengkuas, serai, dan kapulaga. Masukkan irisan bawang bombay dan tomat. Tambahkan ayam dan kentang, lalu masukkan kecap manis, garam, dan penyedap rasa. Masak semur hingga bumbu meresap dan matang."
Ayam goreng tepung,"fillet ayam, tepung, telur, garam, minyak goreng",ayam,Ayam Goreng Tepung,"Cuci fillet ayam, tiriskan. Potong fillet ayam bentuk dadu. Kocok telur dan beri garam secukupnya. Masukkan potongan fillet ayam ke dalam telur, lalu balurkan dengan tepung. Goreng fillet ayam dalam minyak goreng panas hingga matang."
Tulang Ayam Pedas Manis,"tulang ayam, cabai merah, cabai rawit, bawang merah, bawang putih, kunyit, daun salam, daun jeruk, serai, jahe, jeruk nipis, kaldu, gula, kecap manis, air, minyak goreng",ayam,Tulang Ayam Pedas Manis,"Setelah tulang ayam dibersihkan dan dipotong, lumuri dengan perasan jeruk nipis, lalu diamkan. Haluskan bawang merah, bawang putih, cabai merah, cabai rawit, dan kunyit. Siapkan air untuk merebus tulang, tambahkan jahe yang sudah dimemarkan dan daun jeruk, lalu ungkep tulang hingga air menyusut. Panaskan minyak goreng, kemudian tumis bumbu yang sudah dihaluskan. Tambahkan air secukupnya, daun salam, dan serai yang sudah dimemarkan. Masukkan tulang ayam, tambahkan kaldu, gula, dan kecap manis secukupnya. Masak hingga bumbu meresap ke dalam tulang ayam, lalu angkat."
Sop ayam,"ayam, ceker ayam, kentang, wortel, makaroni, daun bawang, daun seledri, bawang merah, bawang putih, lada, garam, penyedap rasa",ayam,Sop Ayam,"Tumis bawang merah dan bawang putih hingga harum, lalu masukkan potongan ayam dan ceker ayam ke tumisan bumbu. Aduk rata, kemudian pindahkan ke panci besar dan tambahkan air secukupnya. Didihkan sampai ayam dan ceker ayam cukup matang, lalu masukkan kentang dan wortel yang sudah diiris. Masak hingga lembut, kemudian masukkan makaroni yang sudah direbus. Tambahkan lada, garam, dan penyedap rasa, lalu sesuaikan rasa. Terakhir, masukkan daun bawang dan daun seledri."
Ayam suwir,"ayam, daun jeruk, bawang putih, bawang merah, jahe, kunyit, garam, minyak goreng",ayam,Ayam Suwir,"Rebus ayam sampai matang, lalu suwir-suwir. Haluskan bawang putih, bawang merah, jahe, dan kunyit. Panaskan minyak goreng, kemudian tumis bumbu halus dan masukkan daun jeruk, masak hingga harum. Tambahkan air secukupnya, lalu masukkan ayam suwir. Tambahkan garam dan masak hingga bumbu meresap."
Mie tulang ayam,"tulang ayam, mie, bawang putih, bawang merah, cabai rawit, daun bawang, seledri, lada, saus sambal, kecap manis, gula, minyak goreng",ayam,Mie Tulang Ayam,"Cuci bersih tulang ayam, lalu rebus kurang lebih 10 menit, kemudian tiriskan. Rebus mie sampai setengah matang, lalu tiriskan. Haluskan bawang merah, bawang putih, dan cabai rawit. Panaskan minyak goreng, lalu tumis bumbu halus bersama irisan seledri dan daun bawang hingga harum. Setelah itu, tambahkan lada, gula, dan garam. Masukkan tulang ayam, masak hingga bumbu meresap. Kemudian masukkan mie, saus sambal, dan kecap manis, lalu tumis sampai bumbu tercampur rata. Tambahkan gula dan garam sesuai kebutuhan."
Ayam Kacang Panjang Saos Hoisin,"ayam, kecap manis, saus, kacang panjang, bawang putih, jahe, penyedap rasa, air, tapioka",ayam,Ayam Kacang Panjang Saus Hoisin,"Tumis ayam hingga matang, lalu angkat. Tumis jahe, kemudian masukkan bawang putih, masak sampai harum. Masukkan kacang panjang, lalu tumis sebentar. Tambahkan air, saus, kecap manis, dan penyedap rasa. Tutup wajan, kecilkan api, lalu masak selama 1-2 menit. Aduk sebentar dan tutup kembali selama 1-2 menit. Masukkan ayam yang sudah ditumis sebelumnya, aduk rata. Terakhir, masukkan larutan tapioka untuk mengentalkan saus."
Tongseng ayam,"ayam, santan, daun jeruk, daun salam, lengkuas, serai, cabai rawit, daun bawang, tomat, kecap manis, kentang, kol, garam, bawang goreng, minyak goreng, bawang merah, bawang putih, jahe, kunyit, ketumbar, lada, kemiri, cabai merah",ayam,Tongseng Ayam,"Haluskan bawang merah, bawang putih, jahe, kunyit, ketumbar, lada, kemiri, cabai merah, dan cabai rawit. Panaskan minyak goreng, lalu tumis bumbu halus hingga harum. Masukkan daun salam, daun jeruk, serai, dan lengkuas, kemudian masukkan potongan ayam. Tuangkan santan encer, masak hingga ayam setengah matang. Masukkan kentang, garam, dan kecap manis, lalu masak hingga matang. Masukkan kol, lalu tuangkan santan kental dan aduk rata. Sesuaikan rasa. Setelah mendidih, matikan api, kemudian masukkan daun bawang dan tomat, lalu taburkan bawang goreng."
Ayam Kecap Pedas Jeruk Limao,"ayam, daun salam, jahe, daun jeruk, jeruk, air, garam, kecap manis, bawang bombay, bawang putih, bawang merah, cabai keriting, cabai rawit",ayam,Ayam Kecap Pedas Jeruk Limau,"Cuci ayam, lalu lumuri dengan perasan air jeruk dan garam. Diamkan sebentar, kemudian bilas sampai bersih. Goreng ayam sebentar, lalu sisihkan. Haluskan bawang putih, bawang merah, cabai keriting, dan cabai rawit. Tumis bumbu halus bersama daun salam, daun jeruk, dan jahe hingga harum. Masukkan bawang bombay, masak sebentar. Kemudian tambahkan air, garam, dan kecap manis. Masukkan ayam, aduk rata, lalu sesuaikan rasa. Biarkan air surut dan bumbu meresap. Setelah matang, matikan api, lalu beri perasan jeruk dan aduk rata."
Resep Ayam Kecap Rumahan,"ayam, bawang putih, bawang merah, cabai rawit, jahe, lada, lengkuas, kemiri",ayam,Ayam Kecap Rumahan,"Rebus hingga mendidih, lalu masukkan ayam dan ungkep hingga empuk. Haluskan bawang putih, bawang merah, cabai rawit, jahe, lada, lengkuas, dan kemiri. Tumis bumbu halus hingga harum. Setelah bumbu matang, masukkan ayam yang sudah diungkep, lalu kecilkan api agar bumbu meresap."
Sop Ayam Garang Asam,"ayam, serai, jahe, cabai rawit, bawang putih, bawang merah, tomat hijau, jeruk nipis, daun jeruk, daun bawang, garam, penyedap rasa, air",ayam,Sop Ayam Garang Asam,"Potong dan bersihkan ayam, lalu lumuri dengan perasan jeruk nipis, kemudian diamkan. Iris kasar bawang merah dan bawang putih. Geprek serai dan jahe. Iris sebagian cabai rawit, biarkan sisanya utuh. Potong memanjang tomat hijau dan daun bawang. Tumis bawang merah, bawang putih, serai, daun jeruk, dan cabai rawit hingga harum. Kemudian masukkan air, tunggu hingga mendidih. Setelah mendidih, masukkan ayam dan masak hingga setengah empuk. Bumbui dengan penyedap rasa dan garam, lalu masukkan perasan jeruk nipis dan tomat hijau. Aduk hingga merata. Setelah disesuaikan rasa dan ayam matang, masukkan daun bawang."
Soto ayam kuah santan,"ayam, santan, kunyit, jahe, lada, daun salam, bawang merah, bawang putih, penyedap rasa, tomat, daun bawang, bihun, bawang goreng, kol, tahu, kerupuk, jeruk nipis, sambal",ayam,Soto Ayam Kuah Santan,"Rebus ayam hingga matang, lalu tiriskan. Kemudian goreng ayam hingga matang. Haluskan bawang merah, bawang putih, kunyit, jahe, dan lada. Tumis bumbu halus hingga matang. Masukkan tumisan bumbu ke dalam kuah soto, lalu masukkan daun salam dan daun jeruk. Tambahkan garam dan penyedap rasa. Masukkan santan, masak hingga matang. Tambahkan daun bawang. Sajikan soto dengan bihun, kol, tahu, kerupuk, irisan tomat, perasan jeruk nipis, bawang goreng, dan sambal."
Seblak Mie Tulang Ayam,"mie, tulang ayam, sawi hijau, sawi, garam, gula, bawang merah, bawang putih, cabai keriting, cabai rawit, kencur",ayam,Seblak Mie Tulang Ayam,"Haluskan bawang merah, bawang putih, cabai keriting, cabai rawit, dan kencur. Tumis bumbu halus hingga harum. Masukkan tulang ayam, lalu masak hingga tulang ayam matang. Setelah tulang ayam matang, masukkan mie, gula, dan garam, kemudian sesuaikan rasa. Masukkan sawi hijau sampai agak layu."
Sweet Buffalo Chicken 🐔,"ayam, garam, lada, paprika, tepung terigu, saus, margarin, bawang putih, gula merah, wijen",ayam,Sweet Buffalo Chicken,"Cuci dan keringkan ayam. Lumuri ayam dengan garam, lada, dan paprika. Baluri dengan tepung terigu, lalu diamkan 30 hingga 60 menit. Goreng ayam sampai matang, kemudian angkat dan tiriskan. Panaskan margarin, lalu tambahkan bawang putih, gula merah, dan saus dengan api sedang. Aduk rata dan biarkan sampai mengental. Masukkan ayam, baluri dengan bumbu sampai rata, kemudian diamkan 5 menit sampai bumbu menyatu pada ayam. Angkat ayam, lalu hidangkan dengan taburan wijen."
Ayam goreng tepung simple,"ayam, bawang putih, lada, kaldu, garam, telur, tepung, tepung terigu, tepung maizena",ayam,Ayam Goreng Tepung Simple,"Potong ayam. Campur ayam dengan bawang putih, garam, lada, dan kaldu, lalu aduk rata. Simpan di kulkas minimal 2 jam. Keluarkan ayam dari kulkas, masukkan telur, dan aduk rata. Siapkan campuran tepung terigu dan tepung maizena sebagai pelapis, aduk rata, lalu gulingkan potongan ayam ke dalam tepung dan remas. Goreng ayam sampai kecoklatan, kemudian angkat dan sajikan."
Sop Balungan Ayam,"tulang ayam, bawang putih, lada, pala, cengkeh, garam, kaldu jamur, gula, sayur, wortel, kentang, sawi, seledri, bawang merah",ayam,Sop Balungan Ayam,"Haluskan bawang putih, lada, pala, dan cengkeh. Cuci bersih tulang ayam, lalu rebus dengan api kecil hingga keluar kaldu bening dan buang kotoran yang mengapung. Kemudian masukkan bumbu Haluskan, biarkan mendidih. Setelah itu, masukkan wortel, tunggu 3 menit, lalu masukkan kentang. Tunggu 5 menit, lalu tambahkan garam, kaldu jamur, dan gula untuk menyesuaikan rasa. Kemudian masukkan sawi dan seledri. Aduk sebentar, lalu matikan kompor. Sajikan dengan taburan bawang merah."
Sayap Goreng Bumbu Ngo Hiang,"sayap ayam, jeruk, garam, ngohiong, pemanis",ayam,Sayap Goreng Bumbu Ngo Hiang,"Cuci sayap ayam. Dalam satu wadah, masukkan sayap ayam beserta garam, ngohiong, pemanis, dan air perasan jeruk. Remas, lalu simpan dalam kulkas semalaman hingga bumbu meresap. Goreng sayap ayam hingga matang, kemudian sajikan."
Semur ayam kampung,"ayam kampung, bawang putih, bawang merah, kemiri, jahe, daun jeruk, daun salam, serai, lengkuas, kunyit, ketumbar, lada, garam, gula, kaldu bubuk, kecap manis, kaldu, minyak goreng",ayam,Semur Ayam Kampung,"Potong dan cuci ayam kampung, lalu rebus sampai empuk. Haluskan bawang putih, bawang merah, kemiri, dan jahe. Tumis bumbu Haluskan tersebut dengan minyak goreng sampai harum, lalu masukkan serai, daun jeruk, daun salam, dan lengkuas. Kemudian masukkan kaldu, ayam kampung, lada, garam, kunyit, ketumbar, kecap manis, gula, dan kaldu bubuk. Masak hingga bumbu meresap."
